border	rcp45_mammals	rcp85_mammals	rcp45_birds	rcp85_birds	barrier_species
AFG.CHN	201	210	420	430	NA
AFG.IRN	86	86	189	179	NA
AFG.PAK	52	55	151	171	44
AFG.TJK	45	46	92	100	NA
AFG.TKM	47	46	56	54	39
AFG.UZB	54	56	102	104	48
AGO.COD	119	103	239	198	NA
AGO.COG	72	67	105	88	NA
AGO.NAM	40	25	53	37	NA
AGO.ZMB	66	47	134	105	NA
ALB.GRC	22	22	24	23	NA
ALB.KOS	17	15	37	34	NA
ALB.MKD	15	15	16	15	NA
ALB.MNE	12	11	17	12	NA
ARE.OMN	6	6	21	16	3
ARE.SAU	14	13	41	35	7
ARG.BOL	82	79	195	184	NA
ARG.BRA	53	59	131	114	NA
ARG.CHL	105	125	372	448	NA
ARG.PRY	32	30	42	38	NA
ARG.URY	56	74	158	222	NA
ARM.AZE	16	16	21	17	NA
ARM.GEO	28	29	26	24	NA
ARM.IRN	30	30	44	43	NA
ARM.TUR	35	36	41	39	26
AUT.CHE	12	12	24	26	NA
AUT.CZE	11	9	19	17	NA
AUT.DEU	10	8	29	23	NA
AUT.HUN	7	7	18	15	NA
AUT.ITA	22	20	60	55	NA
AUT.LIE	0	0	0	0	NA
AUT.SVK	11	10	18	14	NA
AUT.SVN	11	8	18	17	NA
AZE.GEO	20	18	24	24	NA
AZE.IRN	50	51	65	57	43
AZE.RUS	59	58	74	72	NA
AZE.TUR	35	33	54	48	NA
BDI.COD	78	101	146	219	NA
BDI.RWA	27	19	84	83	NA
BDI.TZA	95	57	220	147	NA
BEL.DEU	10	11	30	32	NA
BEL.FRA	30	30	71	73	NA
BEL.LUX	0	0	0	0	NA
BEL.NLD	9	10	16	19	NA
BEN.BFA	33	32	55	67	NA
BEN.NER	15	15	37	36	NA
BEN.NGA	38	37	76	72	NA
BEN.TGO	29	27	56	52	NA
BFA.CIV	39	44	69	80	NA
BFA.GHA	37	37	58	70	NA
BFA.MLI	27	25	37	37	NA
BFA.NER	18	15	25	21	NA
BFA.TGO	41	40	63	69	NA
BGD.IND	85	73	156	139	51
BGD.MMR	100	79	193	149	NA
BGR.GRC	17	17	17	16	NA
BGR.MKD	11	11	22	22	NA
BGR.ROU	11	11	22	17	NA
BGR.SRB	12	11	20	17	NA
BGR.TUR	36	42	45	51	35
BIH.HRV	11	11	16	13	NA
BIH.MNE	10	9	29	24	NA
BIH.SRB	12	12	20	18	NA
BLR.LTU	9	9	11	11	NA
BLR.LVA	11	10	17	18	7
BLR.POL	8	7	16	15	2
BLR.RUS	35	35	55	52	NA
BLR.UKR	22	23	35	39	NA
BLZ.GTM	32	29	46	44	NA
BLZ.MEX	55	49	91	87	NA
BOL.BRA	195	176	597	438	NA
BOL.CHL	153	164	564	616	NA
BOL.PER	107	107	406	413	NA
BOL.PRY	51	45	125	116	NA
BRA.COL	258	228	863	701	NA
BRA.GUF	80	71	205	164	NA
BRA.GUY	109	83	340	286	NA
BRA.PER	219	215	825	717	NA
BRA.PRY	42	41	81	86	NA
BRA.SUR	73	63	181	149	NA
BRA.URY	46	67	167	242	NA
BRA.VEN	217	188	615	508	NA
BRN.MYS	24	23	31	25	NA
BTN.CHN	188	175	332	305	NA
BTN.IND	113	112	204	210	NA
BWA.NAM	19	9	31	13	NA
BWA.ZAF	15	13	28	27	NA
BWA.ZWE	24	13	25	13	10
CAF.CMR	46	42	97	90	NA
CAF.COD	62	61	100	89	NA
CAF.COG	86	77	195	186	NA
CAF.SDN	34	32	89	89	NA
CAF.SSD	67	65	144	140	NA
CAF.TCD	15	17	64	66	NA
CAN.USA	104	116	116	130	NA
CHE.DEU	15	15	37	36	NA
CHE.FRA	10	8	58	53	NA
CHE.ITA	14	13	50	49	NA
CHE.LIE	0	0	0	0	NA
CHL.PER	141	148	466	520	NA
CHN.HKG	0	0	140	145	60
CHN.IND	237	244	455	456	NA
CHN.KAS	30	30	58	64	NA
CHN.KAZ	71	68	113	113	NA
CHN.KGZ	140	137	292	294	NA
CHN.LAO	62	56	132	112	NA
CHN.MAC	0	0	0	0	NA
CHN.MMR	103	93	216	202	NA
CHN.MNG	75	72	164	175	63
CHN.NPL	194	194	371	378	NA
CHN.PAK	189	191	379	356	NA
CHN.PRK	97	90	283	278	65
CHN.RUS	206	209	455	442	164
CHN.TJK	193	195	412	413	NA
CHN.VNM	81	72	172	151	NA
CIV.GHA	42	40	35	34	NA
CIV.GIN	31	29	46	40	NA
CIV.LBR	31	30	56	67	NA
CIV.MLI	35	38	59	56	NA
CMR.COG	79	76	215	208	NA
CMR.GAB	107	99	249	225	NA
CMR.GNQ	70	69	169	157	NA
CMR.NGA	91	90	58	54	NA
CMR.TCD	28	28	57	56	NA
COD.COG	109	93	169	160	NA
COD.RWA	85	97	191	219	NA
COD.SSD	87	83	222	209	NA
COD.TZA	198	162	442	391	NA
COD.UGA	117	112	183	166	NA
COD.ZMB	70	60	173	154	NA
COG.GAB	35	30	59	53	NA
COL.ECU	158	154	481	474	NA
COL.PAN	202	193	835	720	NA
COL.PER	219	214	825	809	NA
COL.VEN	121	113	537	443	NA
CRI.NIC	36	31	170	147	NA
CRI.PAN	43	42	188	181	NA
CYN.CYP	0	0	4	3	NA
CZE.DEU	9	7	28	27	NA
CZE.POL	4	3	21	20	NA
CZE.SVK	11	10	16	16	NA
DEU.DNK	23	24	41	39	NA
DEU.FRA	25	25	60	56	NA
DEU.LUX	0	0	0	0	NA
DEU.NLD	11	14	37	39	NA
DEU.POL	7	6	25	22	NA
DJI.ERI	22	24	59	70	NA
DJI.ETH	21	23	70	87	NA
DOM.HTI	1	1	4	3	NA
DZA.ESH	16	15	18	17	NA
DZA.LBY	30	25	55	35	NA
DZA.MAR	16	12	33	18	NA
DZA.MLI	26	25	67	66	NA
DZA.MRT	25	25	69	67	NA
DZA.NER	24	19	70	66	NA
DZA.TUN	16	12	17	11	NA
ECU.PER	133	130	529	524	NA
EGY.Gaza	0	0	0	0	NA
EGY.ISR	12	9	24	24	8
EGY.LBY	38	30	71	62	NA
EGY.SDN	24	22	53	50	NA
ERI.ETH	105	82	244	201	NA
ERI.SDN	76	69	143	125	NA
ESP.FRA	23	23	48	42	NA
ESP.PRT	18	17	37	35	NA
EST.LVA	7	7	8	9	NA
EST.RUS	47	48	56	67	NA
ETH.KEN	163	156	407	404	NA
ETH.SDN	36	36	138	129	NA
ETH.SOM	90	88	211	208	NA
ETH.SSD	102	105	274	270	NA
FIN.NOR	15	16	31	30	NA
FIN.RUS	65	65	122	114	45
FIN.SWE	20	19	27	27	NA
FRA.ITA	30	28	51	41	NA
FRA.LUX	0	0	0	0	NA
FRA.MCO	0	0	0	0	NA
GAB.GNQ	35	32	92	68	NA
GBR.IRL	20	18	34	34	NA
GEO.RUS	43	42	130	118	NA
GEO.TUR	34	34	45	43	NA
GHA.TGO	49	45	59	58	NA
GIN.GNB	29	29	65	66	NA
GIN.LBR	34	34	63	73	NA
GIN.MLI	36	38	51	53	NA
GIN.SEN	24	24	35	35	NA
GIN.SLE	33	31	53	46	NA
GMB.SEN	21	15	28	22	NA
GNB.SEN	27	27	44	45	NA
GRC.MKD	18	17	24	22	10
GRC.TUR	50	53	71	68	47
GTM.HND	31	32	101	84	NA
GTM.MEX	74	78	165	165	NA
GTM.SLV	36	35	121	130	NA
GUY.SUR	20	15	66	60	NA
GUY.VEN	84	80	271	235	NA
HND.NIC	28	26	49	51	NA
HND.SLV	38	37	126	131	NA
HRV.HUN	12	10	33	31	4
HRV.MNE	21	19	27	20	NA
HRV.SRB	12	10	19	18	NA
HRV.SVN	13	11	32	25	8
HUN.ROU	13	12	24	23	NA
HUN.SRB	11	9	23	20	6
HUN.SVK	6	6	13	10	NA
HUN.SVN	12	10	30	25	NA
HUN.UKR	10	11	20	19	NA
IDN.MYS	167	138	442	386	NA
IDN.PNG	52	49	123	122	NA
IDN.TLS	98	86	294	271	NA
IND.KAS	16	15	38	44	NA
IND.MMR	179	173	412	399	128
IND.NPL	90	89	195	203	NA
IND.PAK	112	108	223	220	86
IRN.IRQ	45	41	67	51	NA
IRN.PAK	103	97	310	299	74
IRN.TKM	51	49	58	56	42
IRN.TUR	79	76	85	86	NA
IRQ.JOR	21	18	41	33	12
IRQ.KWT	10	8	15	11	5
IRQ.SAU	17	14	47	36	10
IRQ.SYR	24	25	38	34	NA
IRQ.TUR	32	30	52	45	NA
ISR.JOR	7	5	5	3	4
ISR.LBN	9	10	25	26	4
ISR.PSE	8	8	10	9	6
ISR.SYR	13	14	33	30	11
ITA.SMR	0	0	0	0	NA
ITA.SVN	13	12	47	39	NA
JOR.PSE	9	8	10	9	NA
JOR.SAU	16	15	24	21	NA
JOR.SYR	15	11	32	26	NA
KAZ.KGZ	77	75	125	113	NA
KAZ.RUS	79	77	98	89	NA
KAZ.TKM	36	34	26	25	NA
KAZ.UZB	40	41	79	70	NA
KEN.SOM	83	81	149	150	NA
KEN.SSD	73	75	198	196	NA
KEN.TZA	84	78	215	201	NA
KEN.UGA	104	95	290	273	NA
KGZ.TJK	35	34	69	70	NA
KGZ.UZB	30	31	45	42	29
KHM.LAO	35	32	64	51	NA
KHM.THA	63	53	167	143	NA
KHM.VNM	33	28	61	46	NA
KOR.PRK	7	6	36	33	2
KOS.MKD	12	11	29	27	NA
KOS.MNE	9	8	28	27	NA
KOS.SRB	13	13	35	28	NA
KWT.SAU	12	11	28	22	NA
LAO.MMR	69	64	144	133	NA
LAO.THA	27	21	57	49	NA
LAO.VNM	27	23	57	46	NA
LBN.SYR	8	7	37	33	NA
LBR.SLE	33	30	52	52	NA
LBY.NER	26	24	69	60	NA
LBY.SDN	30	26	81	74	NA
LBY.TCD	35	28	74	64	NA
LBY.TUN	21	16	40	23	NA
LSO.ZAF	0	0	0	0	NA
LTU.LVA	5	5	5	5	NA
LTU.POL	21	21	24	24	NA
LTU.RUS	43	45	58	67	NA
LVA.RUS	46	46	56	69	NA
MAF.SXM	0	0	0	0	NA
MAR.ESH	11	10	21	22	8
MDA.ROU	11	11	26	20	NA
MDA.UKR	12	14	26	23	NA
MEX.USA	205	206	451	461	122
MKD.SRB	19	17	23	21	NA
MLI.MRT	24	22	33	30	NA
MLI.NER	24	24	26	22	NA
MLI.SEN	43	43	46	42	NA
MMR.THA	40	34	67	59	NA
MNE.SRB	18	18	28	21	NA
MNG.RUS	60	57	133	130	48
MOZ.MWI	18	12	42	34	NA
MOZ.SWZ	54	55	107	110	NA
MOZ.TZA	61	48	110	95	NA
MOZ.ZAF	27	34	80	85	20
MOZ.ZMB	18	14	58	49	NA
MOZ.ZWE	18	13	52	44	NA
MRT.ESH	15	22	49	51	NA
MRT.SEN	20	18	21	21	NA
MWI.TZA	49	43	91	65	NA
MWI.ZMB	25	19	60	36	NA
MYS.THA	18	16	40	42	5
NAM.ZAF	49	32	73	55	NA
NAM.ZMB	41	25	79	59	NA
NER.NGA	21	20	25	23	NA
NER.TCD	31	29	25	24	NA
NGA.TCD	53	50	70	66	NA
NOR.RUS	82	81	198	203	56
NOR.SWE	15	15	31	33	NA
OMN.SAU	18	18	57	53	NA
OMN.YEM	19	18	59	58	NA
POL.RUS	44	41	83	65	NA
POL.SVK	9	9	17	14	NA
POL.UKR	19	19	31	31	NA
PRK.RUS	57	56	153	148	NA
QAT.SAU	17	15	25	20	NA
ROU.SRB	17	13	21	17	NA
ROU.UKR	15	14	25	21	NA
RUS.UKR	41	43	53	39	36
RWA.TZA	84	56	230	164	NA
RWA.UGA	81	67	201	152	NA
SAU.YEM	15	14	43	40	9
SDN.SSD	21	21	94	86	NA
SDN.TCD	47	41	90	85	NA
SSD.UGA	53	48	123	117	NA
SUR.GUF	13	11	36	32	NA
SVK.UKR	16	15	25	23	NA
SWZ.ZAF	44	40	79	71	NA
SYR.TUR	17	17	47	40	13
TJK.UZB	18	22	39	41	NA
TKM.UZB	30	29	33	31	25
TZA.UGA	105	93	304	296	NA
TZA.ZMB	55	52	110	94	NA
ZAF.ZWE	39	34	85	73	20
ZMB.ZWE	35	24	66	51	NA
